apn,licenseNumber,licenseType,licenseStatus,issueDate,expirationYear,expirationDate,licenseName,address,endorsements,ward,neighborhood,lastUpdateDate,X,Y,issueMonth,issueYear,duration,Wine,On Sale,Add Strong Beer,No Entertainment,Liquor,General Entertainment,Bottle Club,Limited Entertainment,Class A,Adult Entertainment,Class E Entertainment,Taproom Class E Entertainment,Taproom No Entertainment,Taproom Class C1 Entertainment,Taproom Limited Entertainment,Beer,Class C1 Entertainment,Class B Entertainment,Class D Entertainment,Class A Entertainment,Distillery,Class C2 Entertainment,BL Sunday Sales Exemption,Culinary Classes
1002824220002,LIC404929,BLWine,Approved,2023-05-05 10:08:29,2024,2024-04-01 23:59:59,Clancey's,3804 GRAND AVE S," Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",8,King Field,2023-05-07 18:15:24,-93.2847375971601,44.9338328058106,5,2023,332 days 13:51:30,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3402924240117,LIC406659,BLLiquor,Approved,2023-08-18 00:35:22,2024,2024-04-01 23:59:59,Luna & The Bear,18 26TH ST W," Liquor, On Sale, No Entertainment",10,Whittier,2023-08-20 18:15:20,-93.2783961299563,44.9558276679095,8,2023,227 days 23:24:37,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1402924110004,LIC394260,BLWine,Approved,2023-05-05 10:06:26,2024,2024-04-01 23:59:00,Strike Theater,824 18TH AVE NE," Wine, On Sale, General Entertainment; Wine, On Sale, Add Strong Beer",1,Logan Park,2023-05-07 18:15:24,-93.2487267506189,45.0051783248442,5,2023,332 days 13:52:34,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1602924340140,LIC80410,BLLiquor,Pending,2019-08-22 08:49:57,2020,2020-04-01 00:00:00,Elk's Lounge,1614 PLYMOUTH AVE N," Liquor, On Sale, Bottle Club",5,Near - North,2020-11-18 18:15:17,-93.3014949806758,44.9917854099267,8,2019,222 days 15:10:03,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2602924120061,LIC404994,BLWine,Approved,2023-07-17 12:44:44,2024,2024-04-01 23:59:59,Milly's Wine Bar & Bistro,1129 WASHINGTON AVE S," Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",3,Downtown East,2023-07-18 18:15:20,-93.2522283817997,44.9745797947947,7,2023,259 days 11:15:15,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2202924120001,LIC403839,BLWine,Approved,2023-05-05 10:07:34,2024,2024-04-01 23:59:59,Luminary Arts Center,700 1ST ST N," Wine, On Sale, Limited Entertainment; Wine, On Sale, Add Strong Beer",3,North Loop,2023-05-07 18:15:24,-93.2743252435665,44.989598503129,5,2023,332 days 13:52:25,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1102924140045,LIC402284,BLLiquor,Pending,2023-03-30 15:32:56,2023,2023-10-01 00:00:00,Dutch Bar,2512 CENTRAL AVE NE," Liquor, On Sale, No Entertainment",1,Holland,2023-07-27 18:15:26,-93.2478755690394,45.0136830839717,3,2023,184 days 08:27:04,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1102924320040,LIC402988,BLWine,Approved,2023-04-27 15:07:09,2024,2024-04-01 23:59:59,Carbon Kitchen and Market,2400 UNIVERSITY AVE NE," Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",3,Bottineau,2023-04-28 18:15:20,-93.2635551089615,45.0123213329141,4,2023,340 days 08:52:50,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2202924440022,LIC80520,BLLiquor,Pending,2021-05-17 01:03:04,2022,2022-01-01 00:00:00,Gay 90'S,400 HENNEPIN AVE," Liquor, On Sale, Class A, Adult Entertainment; Liquor, On Sale, Adult Entertainment",3,Downtown West,2023-08-16 18:15:24,-93.271972024933,44.9804970033038,5,2021,228 days 22:56:56,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3302924340131,LIC404734,BLWine,Approved,2023-05-05 10:08:48,2024,2024-04-01 23:59:59,Best of Best Quality Korean Fried Chicken,1500 LAKE ST W," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",7,East Isles,2023-05-07 18:15:24,-93.3010295734086,44.9486455531011,5,2023,332 days 13:51:11,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3302924430211,LIC405671,BLLiquor,Approved,2023-08-17 00:35:58,2024,2024-04-01 00:00:00,Boludo,2935 GIRARD AVE S," Liquor, On Sale, No Entertainment",10,Lowry Hill East,2023-08-18 18:15:25,-93.2966302324081,44.9488463237931,8,2023,227 days 23:24:02,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1102924410006,LIC65240,BLWine,Approved,2023-07-07 09:23:37,2024,2024-04-01 00:00:00,El Taco Riendo,2412 CENTRAL AVE NE," Wine, On Sale, Class E Entertainment; Wine, On Sale, Add Strong Beer; Wine, On Sale, No Entertainment",1,Holland,2023-07-09 18:15:27,-93.2478772219395,45.0126665378085,7,2023,268 days 14:36:23,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2702924110131,LIC403963,BLLiquor,Approved,2023-08-18 00:35:20,2024,2024-04-01 23:59:59,Hotel Indigo Minneapolis Downtown,618 2ND AVE S," Liquor, On Sale, Limited Entertainment",7,Downtown West,2023-08-20 18:15:20,-93.2697421171403,44.9762242872138,8,2023,227 days 23:24:39,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2202924140037,LIC407113,BLLiquor,Approved,2023-08-17 09:20:37,2024,2024-07-01 23:59:59,Porzana/Flora Room At Porzana,200 1ST ST N," Liquor, On Sale, No Entertainment",3,North Loop,2023-08-18 18:15:25,-93.2688504871185,44.9857300169338,8,2023,319 days 14:39:22,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2302924120110,LIC382903,BLLiquor,Approved,2023-08-11 09:56:07,2024,2024-07-01 00:00:00,Sidebar at Surdyk's,303 HENNEPIN AVE E #2," Liquor, On Sale, Limited Entertainment",3,Nicollet Island - East Bank,2023-08-13 18:15:19,-93.2561268787916,44.9884631652757,8,2023,324 days 14:03:53,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2202924130059,LIC405164,BLLiquor,Approved,2023-08-18 00:35:21,2024,2024-04-01 23:59:59,Puralima,548 WASHINGTON AVE N #103," Liquor, On Sale, No Entertainment",3,North Loop,2023-08-20 18:15:20,-93.2751207852939,44.9869001441557,8,2023,227 days 23:24:38,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3402924330009,LIC396900,BLWine,Approved,2023-05-05 10:07:42,2024,2024-04-01 23:59:59,Kyoto Sushi,2841 LYNDALE AVE S," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",10,Whittier,2023-05-07 18:15:24,-93.2874160283842,44.9506686949846,5,2023,332 days 13:52:17,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2602924210108,LIC395085,BLLiquor,Pending,2023-07-07 09:23:11,2023,2023-10-01 00:00:00,US Bank Stadium,425 PORTLAND AVE," Liquor, On Sale, General Entertainment",3,Downtown East,2023-07-19 18:15:24,-93.2613573563644,44.9755544113178,7,2023,85 days 14:36:49,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2702924230040,LIC406200,BLLiquor,Approved,2023-07-07 09:23:23,2024,2024-07-01 00:00:00,Gai Noi,1610 HARMON PL," Liquor, On Sale, No Entertainment",7,Loring Park,2023-07-09 18:15:27,-93.2855156828249,44.971719552771,7,2023,359 days 14:36:37,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1902823230006,LIC79515,BLLiquor,Pending,2019-08-22 08:47:47,2020,2020-04-01 00:00:00,American Legion,5600 34TH AVE S," Liquor, On Sale, Bottle Club",11,Wenonah,2020-03-27 18:15:19,-93.223344159665,44.9015479212695,8,2019,222 days 15:12:13,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3302924340130,LIC404758,BLLiquor,Approved,2023-08-18 00:35:21,2024,2024-04-01 23:59:59,Uptown Theater,2906 HENNEPIN AVE," Liquor, On Sale, General Entertainment",7,East Isles,2023-08-20 18:15:20,-93.2986709397306,44.9490645392944,8,2023,227 days 23:24:38,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0302824110232,LIC380557,BLWine,Approved,2023-05-05 10:07:41,2024,2024-04-01 00:00:00,Las Charolas Restaurant,417 LAKE ST E #79," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",9,Central,2023-05-07 18:15:24,-93.2694189661832,44.947791727184,5,2023,331 days 13:52:19,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3402924330098,LIC407486,BLLiquor,Approved,2023-08-18 00:35:23,2024,2024-04-01 23:59:59,Lago Tacos,2901 LYNDALE AVE S," Liquor, On Sale, Limited Entertainment",10,Whittier,2023-08-20 18:15:20,-93.2876521891842,44.9500892319037,8,2023,227 days 23:24:36,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2202824120149,LIC407602,BLWine,Approved,2023-06-02 09:07:19,2024,2024-04-01 23:59:59,Thai Pepper Tangletown,5455 NICOLLET AVE," Wine, On Sale, No Entertainment; Wine, On Sale, Add Strong Beer",11,Windom,2023-06-04 18:15:23,-93.2777308089108,44.9036293260116,6,2023,304 days 14:52:40,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1402924110060,LIC337786,BLBrewery,Approved,2023-07-28 08:25:57,2024,2024-07-01 00:00:00,Indeed Brewing Company,711 15TH AVE NE #102," Liquor, On Sale, Taproom Class E Entertainment; Liquor, On Sale, Taproom No Entertainment",1,Logan Park,2023-07-30 18:15:21,-93.2515397746254,45.0034567681052,7,2023,338 days 15:34:03,False,True,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
1402924110060,LIC337786,BLBrewery,Approved,2023-07-28 08:25:57,2024,2024-07-01 00:00:00,Indeed Brewing Company,711 15TH AVE NE #102," Liquor, On Sale, Taproom Class E Entertainment; Liquor, On Sale, Taproom No Entertainment",1,Logan Park,2023-07-30 18:15:21,-93.2515397746254,45.0034567681052,7,2023,338 days 15:34:03,False,True,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2702924310130,LIC337776,BLBrewery,Approved,2023-07-28 08:25:54,2024,2024-07-01 00:00:00,Lakes & Legends Brewing Company,1368 LASALLE AVE," Liquor, On Sale, Taproom Class C1 Entertainment; Liquor, On Sale, Taproom Limited Entertainment",7,Loring Park,2023-07-30 18:15:21,-93.2800812221056,44.9690532660011,7,2023,338 days 15:34:06,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False
2702924310130,LIC337776,BLBrewery,Approved,2023-07-28 08:25:54,2024,2024-07-01 00:00:00,Lakes & Legends Brewing Company,1368 LASALLE AVE," Liquor, On Sale, Taproom Class C1 Entertainment; Liquor, On Sale, Taproom Limited Entertainment",7,Loring Park,2023-07-30 18:15:21,-93.2800812221056,44.9690532660011,7,2023,338 days 15:34:06,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False
1402924320091,LIC76028,BLLiquor,Approved,2023-07-28 08:25:52,2024,2024-07-01 00:00:00,Northeast Yacht Club,801 MARSHALL ST NE," Liquor, On Sale, Class E Entertainment; Liquor, On Sale, No Entertainment",3,St. Anthony West,2023-07-30 18:15:21,-93.2663332217412,44.9954820000001,7,2023,338 days 15:34:08,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3002923220070,LIC76720,BLLiquor,Approved,2023-07-28 08:26:00,2024,2024-07-01 00:00:00,Buffalo Wild Wings Grill & Bar #292,2001 UNIVERSITY AVE SE #100," Liquor, On Sale, Class E Entertainment; Liquor, On Sale, No Entertainment",2,Prospect Park - East River Road,2023-07-30 18:15:21,-93.2267626068505,44.9761743171374,7,2023,338 days 15:34:00,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0402824120187,LIC367483,BLLiquor,Approved,2023-07-28 08:26:01,2024,2024-07-01 00:00:00,B-Dubs Express,1221 LAKE ST W," Liquor, On Sale, Class E Entertainment; Liquor, On Sale, No Entertainment",10,South Uptown,2023-07-30 18:15:21,-93.29510293383,44.9481424140459,7,2023,338 days 15:33:59,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2402924420161,LIC379776,BLLiquor,Approved,2023-07-28 08:25:50,2024,2024-07-01 23:59:59,The Kollege Klub Dinkytown,1301 4TH ST SE," Liquor, On Sale, General Entertainment",3,Marcy Holmes,2023-07-30 18:15:21,-93.2367262133322,44.9811883270287,7,2023,339 days 15:34:09,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2202924240708,LIC380861,BLLiquor,Approved,2023-07-28 08:25:50,2024,2024-07-01 23:59:59,Thr3 Jack,724 3RD ST N," Liquor, On Sale, Limited Entertainment",3,North Loop,2023-07-30 18:15:21,-93.2785056947766,44.9875751678342,7,2023,339 days 15:34:09,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2302924130952,LIC393794,BLLiquor,Approved,2023-07-28 08:26:02,2024,2024-07-01 23:59:59,All Saints,222 HENNEPIN AVE E," Liquor, On Sale, No Entertainment",3,Nicollet Island - East Bank,2023-07-30 18:15:21,-93.2567562528528,44.9874585677428,7,2023,339 days 15:33:57,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2202924440060,LIC394474,BLLiquor,Approved,2023-07-28 08:25:51,2024,2024-07-01 23:59:59,Rand Tower Hotel/Rand Tower,527 MARQUETTE AVE," Liquor, On Sale, General Entertainment",7,Downtown West,2023-07-30 18:15:21,-93.2695552567814,44.9773294507298,7,2023,339 days 15:34:08,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2802924410047,LIC394628,BLLiquor,Approved,2023-07-28 08:25:59,2024,2024-07-01 23:59:59,Cardamom,725 VINELAND PL," Liquor, On Sale, No Entertainment",7,Lowry Hill,2023-07-30 18:15:21,-93.2891998552647,44.9684710662838,7,2023,339 days 15:34:00,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0602823330027,LIC74695,BLBeer,Pending,2015-12-11 00:00:00,2023,2023-04-01 00:00:00,Vincent Giantvalley Post,3751 MINNEHAHA AVE," Beer, On Sale, Bottle Club",12,Howe,2023-08-24 18:15:21,-93.2235728069559,44.9345205736859,12,2015,2668 days 00:00:00,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0502824210244,LIC75240,BLLiquor,Approved,2023-08-11 09:55:59,2024,2024-07-01 00:00:00,Wakame Sushi & Asian Bistro,3070 EXCELSIOR BLVD," Liquor, On Sale, Class E Entertainment; Liquor, On Sale, No Entertainment",13,West Maka Ska,2023-08-13 18:15:19,-93.3225555028116,44.9475887771447,8,2023,324 days 14:04:01,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2502924230039,LIC78248,BLLiquor,Pending,2021-05-21 11:45:44,2023,2023-01-01 00:00:00,Acadia Cafe,329 CEDAR AVE S," Liquor, On Sale, Class C1 Entertainment; Liquor, On Sale, Limited Entertainment",6,Cedar Riverside,2023-08-01 18:15:24,-93.2469427719231,44.9702717622094,5,2021,589 days 12:14:16,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3302924430041,LIC379980,BLWine,Pending,2022-05-06 15:19:04,2023,2023-04-01 23:59:59,Troubadour Wine Bar,2827 HENNEPIN AVE," Wine, On Sale, Limited Entertainment; Wine, On Sale, Add Strong Beer",10,Lowry Hill East,2023-08-01 18:15:24,-93.2978683049057,44.9510686442245,5,2022,330 days 08:40:55,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1602824410177,LIC402750,BLLiquor,Pending,2022-11-18 00:36:38,2023,2023-07-01 23:59:59,The Malt Shop Bar and Grill,809 50TH ST W," Liquor, On Sale, Limited Entertainment",13,Lynnhurst,2023-08-01 18:15:24,-93.2900610467714,44.9121312948127,11,2022,225 days 23:23:21,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
